attack_class,method,metric,value,ci_low,ci_high,n_clean,n_attack,bootstrap_n_clean,bootstrap_n_attack,pc1_explained_variance_ratio,status,source_path,scaling
DDoS,cInput CPGD,wasserstein_pc1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
DDoS,cInput CCW,wasserstein_pc1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Mirai,PGD,wasserstein_pc1,0.3539920151953374,0.42802246515424014,3.270258445977895,119992,6772,2000,2000,0.9895069354514516,ok,D:\thesis_final\results\attacks\attack_8class_pgd_0.30.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Mirai,CW,wasserstein_pc1,0.21656453396695316,0.2578593087473063,3.022196147553337,119992,6772,2000,2000,0.9895069354514516,ok,D:\thesis_final\results\attacks\attack_8class_cw_0.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Mirai,Latent-PGD,wasserstein_pc1,9.08177614013167,8.356142358178039,14.431196416366623,119992,100,2000,100,0.9895069354514516,ok,D:\thesis_final\outputs\latent_attacks\phase2_20260602_023945_seed42\phase2_latent_pgd_Mirai.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Mirai,Latent-CW,wasserstein_pc1,4.222997339574739,3.150322464390375,11.010707807577061,119992,100,2000,100,0.9895069354514516,ok,D:\thesis_final\outputs\latent_attacks\phase3_20260602_023958_seed42\phase3_latent_cw_Mirai.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Mirai,cInput CPGD,wasserstein_pc1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Mirai,cInput CCW,wasserstein_pc1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
BruteForce,PGD,wasserstein_pc1,2.4972096298878297,1.8308495062069765,3.930199439409194,2504,141,2000,141,0.41355909939164304,ok,D:\thesis_final\results\attacks\attack_8class_pgd_0.30.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
BruteForce,CW,wasserstein_pc1,2.499695402015112,1.8186181345127812,3.9336067929326775,2504,141,2000,141,0.41355909939164304,ok,D:\thesis_final\results\attacks\attack_8class_cw_0.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
BruteForce,Latent-PGD,wasserstein_pc1,3.9454789144163214,2.9257335561930735,5.168914714016861,2504,100,2000,100,0.41355909939164304,ok,D:\thesis_final\outputs\latent_attacks\phase2_20260602_023945_seed42\phase2_latent_pgd_BruteForce.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
BruteForce,Latent-CW,wasserstein_pc1,3.9915577923943553,2.8534275321277827,5.317558653752366,2504,100,2000,100,0.41355909939164304,ok,D:\thesis_final\outputs\latent_attacks\phase3_20260602_023958_seed42\phase3_latent_cw_BruteForce.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
BruteForce,cInput CPGD,wasserstein_pc1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
BruteForce,cInput CCW,wasserstein_pc1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Recon,PGD,wasserstein_pc1,0.42422054902612605,0.3490865149771906,2.0231370497882524,100705,5683,2000,2000,0.41803763203379835,ok,D:\thesis_final\results\attacks\attack_8class_pgd_0.30.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Recon,CW,wasserstein_pc1,0.4221831423014838,0.3382284125250916,2.04103680302202,100705,5683,2000,2000,0.41803763203379835,ok,D:\thesis_final\results\attacks\attack_8class_cw_0.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Recon,Latent-PGD,wasserstein_pc1,3.008632186998824,2.121892285306271,4.7389001120212795,100705,100,2000,100,0.41803763203379835,ok,D:\thesis_final\outputs\latent_attacks\phase2_20260602_023945_seed42\phase2_latent_pgd_Recon.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Recon,Latent-CW,wasserstein_pc1,3.245105686407274,2.28219786161669,4.879853736355873,100705,100,2000,100,0.41803763203379835,ok,D:\thesis_final\outputs\latent_attacks\phase3_20260602_023958_seed42\phase3_latent_cw_Recon.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Recon,cInput CPGD,wasserstein_pc1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Recon,cInput CCW,wasserstein_pc1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Web,PGD,wasserstein_pc1,2.8719924653451145,1.4259610634267967,10.366410951531458,4759,269,2000,269,0.7696877614616272,ok,D:\thesis_final\results\attacks\attack_8class_pgd_0.30.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Web,CW,wasserstein_pc1,2.7859009426121872,1.3064399583319455,10.282204943599112,4759,269,2000,269,0.7696877614616272,ok,D:\thesis_final\results\attacks\attack_8class_cw_0.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Web,Latent-PGD,wasserstein_pc1,124.7366663837975,103.19666917852541,148.2585222728426,4759,100,2000,100,0.7696877614616272,ok,D:\thesis_final\outputs\latent_attacks\phase2_20260602_023945_seed42\phase2_latent_pgd_Web.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Web,Latent-CW,wasserstein_pc1,148.67652443191352,123.0043352995026,174.27447262194883,4759,100,2000,100,0.7696877614616272,ok,D:\thesis_final\outputs\latent_attacks\phase3_20260602_023958_seed42\phase3_latent_cw_Web.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Web,cInput CPGD,wasserstein_pc1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Web,cInput CCW,wasserstein_pc1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Spoofing,PGD,wasserstein_pc1,1.7611327787596072,0.6265841645396569,5.402942318429026,74291,4193,2000,2000,0.8010489712049256,ok,D:\thesis_final\results\attacks\attack_8class_pgd_0.30.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Spoofing,CW,wasserstein_pc1,1.696775382354375,0.5091903574700057,5.769984472869224,74291,4193,2000,2000,0.8010489712049256,ok,D:\thesis_final\results\attacks\attack_8class_cw_0.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Spoofing,Latent-PGD,wasserstein_pc1,20.56829504756315,5.741873122119167,40.2407620766441,74291,100,2000,100,0.8010489712049256,ok,D:\thesis_final\outputs\latent_attacks\phase2_20260602_023945_seed42\phase2_latent_pgd_Spoofing.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Spoofing,Latent-CW,wasserstein_pc1,17.390986126164385,4.1855521887800045,34.23163920915732,74291,100,2000,100,0.8010489712049256,ok,D:\thesis_final\outputs\latent_attacks\phase3_20260602_023958_seed42\phase3_latent_cw_Spoofing.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Spoofing,cInput CPGD,wasserstein_pc1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Spoofing,cInput CCW,wasserstein_pc1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
