attack_class,method,metric,value,bins,n_clean,n_attack,status,source_path,scaling
Web,PGD,js_pc1,0.01131964218224476,40,4759,269,ok,D:\thesis_final\results\attacks\attack_8class_pgd_0.30.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Web,CW,js_pc1,0.010684360086558375,40,4759,269,ok,D:\thesis_final\results\attacks\attack_8class_cw_0.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Web,Latent-PGD,js_pc1,0.5353769078752533,40,4759,100,ok,D:\thesis_final\outputs\latent_attacks\phase2_20260602_023945_seed42\phase2_latent_pgd_Web.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Web,Latent-CW,js_pc1,0.48845514212057123,40,4759,100,ok,D:\thesis_final\outputs\latent_attacks\phase3_20260602_023958_seed42\phase3_latent_cw_Web.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Web,cInput CPGD,js_pc1,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Web,cInput CCW,js_pc1,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Spoofing,PGD,js_pc1,0.002187157879035479,40,74291,4193,ok,D:\thesis_final\results\attacks\attack_8class_pgd_0.30.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Spoofing,CW,js_pc1,0.0009722093473610842,40,74291,4193,ok,D:\thesis_final\results\attacks\attack_8class_cw_0.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Spoofing,Latent-PGD,js_pc1,0.08301789003036338,40,74291,100,ok,D:\thesis_final\outputs\latent_attacks\phase2_20260602_023945_seed42\phase2_latent_pgd_Spoofing.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Spoofing,Latent-CW,js_pc1,0.057699990048686534,40,74291,100,ok,D:\thesis_final\outputs\latent_attacks\phase3_20260602_023958_seed42\phase3_latent_cw_Spoofing.npz,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Spoofing,cInput CPGD,js_pc1,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
Spoofing,cInput CCW,js_pc1,N/A,N/A,N/A,N/A,# TODO: canonical cInput run has outcomes but no full 39-feature adversarial vectors; the eight-sample exhibit is not used,D:\thesis_final\outputs\latent_attacks\constrained_input_baselines_20260602_032651_seed42,39-feature RobustScaler-transformed model space (data/processed/scaler.pkl); no additional feature scaling
