model,model_tag,attack,eps,feature_name,mean_abs_delta_raw,std_abs_delta_raw,min_abs_delta_raw,max_abs_delta_raw,mean_abs_delta_raw_flipped,std_abs_delta_raw_flipped,feature_rank
LSTM,lstm,FGSM,0.10,syn_count,0.09999979749321937,5.31532874987926e-07,0.09999847412109375,0.10000038146972656,0.09999953297343797,7.126601405385199e-07,38
LSTM,lstm,FGSM,0.10,IAT,9.271526311960379e-05,2.3976120827250724e-10,9.271384996825671e-05,9.272092358159068e-05,9.27152813349781e-05,1.7556901899631497e-10,39
LSTM,lstm,FGSM,0.30,Tot sum,14681.70060657023,0.0011179092901376219,14681.697666406631,14681.703500390053,14681.700552356855,0.0011389474472179616,1
LSTM,lstm,FGSM,0.30,Variance,13294.600913924329,0.015794197243944624,13294.05865073204,13294.73484903574,13294.601076784895,0.015367201505446392,2
LSTM,lstm,FGSM,0.30,Rate,7425.56710578621,0.0011705805844152686,7425.547918785596,7425.5715240267455,7425.567123898189,0.001298085429816288,3
LSTM,lstm,FGSM,0.30,Max,304.20000629394,3.364746970400528e-05,304.19995164871216,304.20019340515137,304.20000518527496,3.603383221421799e-05,4
LSTM,lstm,FGSM,0.30,AVG,155.40000562620693,1.5173397942251625e-05,155.3999752998352,155.40009880065918,155.40000438797074,1.5748607967345754e-05,5
LSTM,lstm,FGSM,0.30,Tot size,155.40000561959226,1.516651972656228e-05,155.3999752998352,155.40009880065918,155.40000431955312,1.5750770389038597e-05,6
LSTM,lstm,FGSM,0.30,Std,63.15362234194336,9.608718994007219e-06,63.1534603026812,63.153661062635365,63.15362222514485,1.0334334602561056e-05,7
LSTM,lstm,FGSM,0.30,Number,27.00000048051439,1.6866110440895188e-06,26.999995708465576,27.000006437301636,27.000000249147302,1.9394241488802556e-06,8
LSTM,lstm,FGSM,0.30,Header_Length,3.62400021918811,4.017369819149454e-07,3.623999401092533,3.6240008411407416,3.624000130811792,3.193350180185122e-07,9
LSTM,lstm,FGSM,0.30,Protocol Type,3.299999993941784,2.666643682720929e-07,3.299999475479126,3.3000001311302185,3.300000018877488,2.469104441812181e-07,10
LSTM,lstm,FGSM,0.30,ack_count,2.10000021456182,4.508292274768502e-07,2.0999979972839355,2.100001335144043,2.1000002286727253,4.816923935410656e-07,11
LSTM,lstm,FGSM,0.30,Min,1.8000011881828308,4.934937764831795e-06,1.7999267578125,1.800018310546875,1.8000000899935817,1.7399463890475985e-06,12
LSTM,lstm,FGSM,0.30,Time_To_Live,0.5730010952559178,8.867481091792749e-07,0.5729996414156631,0.5730069275014102,0.5730010767628899,9.712928000279231e-07,13
LSTM,lstm,FGSM,0.30,syn_count,0.30000040348529816,1.0367840824341519e-06,0.2999992370605469,0.3000030517578125,0.30000054400107984,1.1755114914550287e-06,14
LSTM,lstm,FGSM,0.30,rst_count,0.30000015342473985,6.752222259619958e-07,0.2999992370605469,0.3000030517578125,0.3000000122429919,2.7573816213220523e-07,15
LSTM,lstm,FGSM,0.30,fin_count,0.30000015023946763,6.414682100546506e-07,0.2999992370605469,0.3000030517578125,0.30000000997474874,3.215032145493707e-08,16
LSTM,lstm,FGSM,0.30,IRC,0.30000001192092896,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,17
LSTM,lstm,FGSM,0.30,DHCP,0.30000001192092896,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,18
LSTM,lstm,FGSM,0.30,SSH,0.30000001192092896,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,19
LSTM,lstm,FGSM,0.30,cwr_flag_number,0.30000001192092896,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,20
LSTM,lstm,FGSM,0.30,Telnet,0.30000001192092896,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,21
LSTM,lstm,FGSM,0.30,SMTP,0.30000001192092896,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,22
LSTM,lstm,FGSM,0.30,fin_flag_number,0.30000001192092896,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,23
LSTM,lstm,FGSM,0.30,IGMP,0.30000001192092896,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,24
LSTM,lstm,FGSM,0.30,ece_flag_number,0.30000001192092896,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,25
LSTM,lstm,FGSM,0.30,ICMP,0.3000000119161606,5.330988247371925e-10,0.2999999523162842,0.30000001192092896,0.30000001191172715,7.405303584052698e-10,26
LSTM,lstm,FGSM,0.30,ARP,0.3000000119113922,7.538854283893951e-10,0.2999999523162842,0.30000001192092896,0.30000001190252534,1.0471872216928714e-09,27
LSTM,lstm,FGSM,0.30,DNS,0.30000001190900805,8.428526723057697e-10,0.2999999523162842,0.30000001192092896,0.3000000119163281,5.236542505607135e-10,28
LSTM,lstm,FGSM,0.30,IPv,0.3000000118970871,1.1918544530821787e-09,0.2999999523162842,0.30000001192092896,0.30000001187492,1.6553647927182392e-09,29
LSTM,lstm,FGSM,0.30,LLC,0.3000000118970871,1.191854453082178e-09,0.2999999523162842,0.30000001192092896,0.30000001189792447,1.1707457047729661e-09,30
LSTM,lstm,FGSM,0.30,psh_flag_number,0.30000001175165175,3.171916152792867e-09,0.2999999523162842,0.30000001192092896,0.3000000117276912,3.388292601285536e-09,31
LSTM,lstm,FGSM,0.30,HTTP,0.3000000103902817,9.428192095117586e-09,0.2999999523162842,0.30000001192092896,0.30000001029681167,9.703977414815655e-09,32
LSTM,lstm,FGSM,0.30,rst_flag_number,0.300000009598732,1.1533478495361778e-08,0.2999999523162842,0.30000001192092896,0.3000000116632786,3.9103418109692625e-09,33
LSTM,lstm,FGSM,0.30,HTTPS,0.3000000091433525,1.2563499771792592e-08,0.2999999523162842,0.30000001192092896,0.3000000088751339,1.3125039596032444e-08,34
LSTM,lstm,FGSM,0.30,syn_flag_number,0.30000000693082807,1.6508545744261546e-08,0.2999999523162842,0.30000001192092896,0.3000000028295528,2.1429771949523435e-08,35
LSTM,lstm,FGSM,0.30,UDP,0.30000000576019287,1.8145352483331132e-08,0.2999999523162842,0.30000001192092896,0.30000000543366157,1.8563044752939303e-08,36
LSTM,lstm,FGSM,0.30,ack_flag_number,0.3000000025844574,2.1663964768739935e-08,0.2999999523162842,0.30000001192092896,0.30000000071774025,2.3286275936100072e-08,37
LSTM,lstm,FGSM,0.30,TCP,0.2999999988126755,2.4687780033286732e-08,0.2999999523162842,0.30000001192092896,0.3000000057879308,1.8109155460263516e-08,38
LSTM,lstm,FGSM,0.30,IAT,0.00027814578296579044,2.4206626962193907e-10,0.0002781450867114371,0.0002781486235181041,0.0002781457719952211,2.6062627813964757e-10,39
LSTM,lstm,PGD,0.05,Tot sum,2381.4571094754656,324.5575731849441,0.0,2446.953500390053,2242.518548114039,550.1285347404748,1
LSTM,lstm,PGD,0.05,Variance,2203.1193651351296,136.6245124780029,0.0,2215.90184122324,2175.5788144057956,244.51010646110473,2
LSTM,lstm,PGD,0.05,Rate,1219.3098827090764,125.16083731075364,0.0,1237.5991882113158,1187.772271839033,212.51420069282435,3
LSTM,lstm,PGD,0.05,Max,50.231393017479256,4.038900940285676,0.0,50.70019340515137,48.36352574862488,8.84124575539984,4
LSTM,lstm,PGD,0.05,Tot size,25.406635267838528,2.944452847362569,0.0,25.90009880065918,24.28669501992898,5.1805000173669296,5
LSTM,lstm,PGD,0.05,AVG,25.375447847101643,3.0905568088373814,0.0,25.90009880065918,24.119515641865963,5.584222769022763,6
