task,model,class_index,class_name,support,precision,recall,f1,roc_auc_ovr
34class,mlp,0,BACKDOOR_MALWARE,615,0.0,0.0,0.0,0.9595786191955347
34class,mlp,1,BENIGN,39998,0.5212490695778542,0.7353367668383419,0.6100555878204597,0.9779704548354642
34class,mlp,2,BROWSERHIJACKING,1126,0.0,0.0,0.0,0.9583279758030567
34class,mlp,3,COMMANDINJECTION,1034,0.6539923954372624,0.16634429400386846,0.26522744795682346,0.971328082755716
34class,mlp,4,DDOS-ACK_FRAGMENTATION,39996,0.9769374969167777,0.9902740274027403,0.9835605552658373,0.9999714986682027
34class,mlp,5,DDOS-HTTP_FLOOD,5519,0.8456464379947229,0.6968653741619859,0.7640806595808086,0.9983987168868751
34class,mlp,6,DDOS-ICMP_FLOOD,40000,0.9998748686120427,0.998825,0.9993496585707496,0.9999966797696894
34class,mlp,7,DDOS-ICMP_FRAGMENTATION,39996,0.9978839486028962,0.9786228622862286,0.9881595556677607,0.9999620947872431
34class,mlp,8,DDOS-PSHACK_FLOOD,40000,0.9940280680800239,0.9987,0.9963585573901332,0.9999965637514954
34class,mlp,9,DDOS-RSTFINFLOOD,40000,0.9998998998998999,0.9989,0.9993996998499249,0.9999897055277379
34class,mlp,10,DDOS-SLOWLORIS,4480,0.7269801537636331,0.9075892857142858,0.8073066613719845,0.9992865004284054
34class,mlp,11,DDOS-SYNONYMOUSIP_FLOOD,40000,0.43220692532332083,0.6475,0.5183887915936952,0.9695410008475297
34class,mlp,12,DDOS-SYN_FLOOD,39999,0.5248678519942336,0.10922773069326733,0.18082486600583572,0.9597339836390628
34class,mlp,13,DDOS-TCP_FLOOD,39999,0.7489964940805853,0.3685342133553339,0.4940013404825737,0.9837837539475756
34class,mlp,14,DDOS-UDP_FLOOD,39999,0.6138575321136629,0.9462236555913898,0.7446362697358714,0.9896624495278902
34class,mlp,15,DDOS-UDP_FRAGMENTATION,39996,0.984147525072792,0.9887488748874887,0.9864428341585701,0.9999534275412854
34class,mlp,16,DICTIONARYBRUTEFORCE,2504,0.9973190348525469,0.1485623003194888,0.2586027111574557,0.959054187232271
34class,mlp,17,DNS_SPOOFING,34293,0.7363903469677462,0.6504534453095384,0.6907593211941038,0.9832206292609358
34class,mlp,18,DOS-HTTP_FLOOD,13759,0.8842819186127814,0.9191801729776873,0.9013933929653255,0.9992633155673762
34class,mlp,19,DOS-SYN_FLOOD,39999,0.44550631923857076,0.5710642766069152,0.5005313845580743,0.9710112874064564
34class,mlp,20,DOS-TCP_FLOOD,39999,0.5807169303823739,0.8744218605465136,0.6979287225126711,0.9836832476015337
34class,mlp,21,DOS-UDP_FLOOD,39998,0.8807269144452351,0.40227011350567526,0.5522851699933067,0.9895375496383894
34class,mlp,22,MIRAI-GREETH_FLOOD,39997,0.988879340848203,0.9782233667525064,0.9835224916104219,0.9998355785759797
34class,mlp,23,MIRAI-GREIP_FLOOD,39998,0.979142899657755,0.9870743537176859,0.9830926294820718,0.9997501046756494
34class,mlp,24,MIRAI-UDPPLAIN,39997,0.9970443102973223,0.995199639972998,0.9961211211211212,0.999989546267889
34class,mlp,25,MITM-ARPSPOOFING,39998,0.7333313973748403,0.6313565678283914,0.6785340032780719,0.9837921313818856
34class,mlp,26,RECON-HOSTDISCOVERY,25735,0.6888925978469499,0.6415387604429765,0.6643729502424498,0.9852932712823852
34class,mlp,27,RECON-OSSCAN,18793,0.44304707150556955,0.06560953546533284,0.114293659621802,0.9562384674656327
34class,mlp,28,RECON-PINGSWEEP,432,0.0,0.0,0.0,0.9493966298511268
34class,mlp,29,RECON-PORTSCAN,15746,0.5021285885820326,0.2921376857614632,0.3693740715461517,0.9616941876151637
34class,mlp,30,SQLINJECTION,1004,0.0,0.0,0.0,0.963722503475697
34class,mlp,31,UPLOADING_ATTACK,239,0.0,0.0,0.0,0.9670455296914374
34class,mlp,32,VULNERABILITYSCAN,39999,0.46892795246348107,0.7576189404735119,0.5792990069105264,0.9733495738429409
34class,mlp,33,XSS,741,0.0,0.0,0.0,0.9630737048103107
34class,cnn,0,BACKDOOR_MALWARE,615,0.0,0.0,0.0,0.9513643457368237
34class,cnn,1,BENIGN,39998,0.5320762224776726,0.6017550877543877,0.5647746204566253,0.9719696854356542
34class,cnn,2,BROWSERHIJACKING,1126,0.0,0.0,0.0,0.9419929884361292
34class,cnn,3,COMMANDINJECTION,1034,0.6529411764705882,0.10735009671179883,0.18438538205980065,0.9617955199402359
34class,cnn,4,DDOS-ACK_FRAGMENTATION,39996,0.9811560290749776,0.9854735473547355,0.9833100488973157,0.9998623058654057
34class,cnn,5,DDOS-HTTP_FLOOD,5519,0.7956689536878216,0.6724044210907774,0.728861828537759,0.9977246439071512
34class,cnn,6,DDOS-ICMP_FLOOD,40000,0.9997747014794602,0.99845,0.9991119116414625,0.999986784135827
34class,cnn,7,DDOS-ICMP_FRAGMENTATION,39996,0.9924495794061011,0.9793479347934794,0.9858552300412765,0.9998711585926581
34class,cnn,8,DDOS-PSHACK_FLOOD,40000,0.9989709351940164,0.995025,0.9969940632749681,0.9998932428119547
34class,cnn,9,DDOS-RSTFINFLOOD,40000,0.9999249117713314,0.99875,0.9993371105524496,0.9999909004323938
34class,cnn,10,DDOS-SLOWLORIS,4480,0.7186827378390013,0.7453125,0.7317554240631163,0.9986941497856919
34class,cnn,11,DDOS-SYNONYMOUSIP_FLOOD,40000,0.4593461505886339,0.54235,0.4974090888246893,0.9694803713823363
34class,cnn,12,DDOS-SYN_FLOOD,39999,0.505006574289471,0.12482812070301758,0.2001764021970092,0.9589174895196049
34class,cnn,13,DDOS-TCP_FLOOD,39999,0.6850763398601885,0.49246231155778897,0.5730160577146847,0.984746415264711
34class,cnn,14,DDOS-UDP_FLOOD,39999,0.6933434896921149,0.7054426360659016,0.6993407356002775,0.9901406294461561
34class,cnn,15,DDOS-UDP_FRAGMENTATION,39996,0.9890156739811912,0.986023602360236,0.9875173717619662,0.9999288977582617
34class,cnn,16,DICTIONARYBRUTEFORCE,2504,0.0,0.0,0.0,0.9438431320893901
34class,cnn,17,DNS_SPOOFING,34293,0.6990916099621225,0.6081707637127111,0.6504693883916041,0.9771187036545274
34class,cnn,18,DOS-HTTP_FLOOD,13759,0.8085770725801312,0.922232720401192,0.8616732310199647,0.9989250035181926
34class,cnn,19,DOS-SYN_FLOOD,39999,0.44078989344732983,0.6908672716817921,0.5381971156187008,0.9713764274941081
34class,cnn,20,DOS-TCP_FLOOD,39999,0.6026012692940531,0.7691192279806995,0.6757531493338897,0.9845645418785651
